epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4449,2.08761,14.8734,1.08583,0.00048,0.14226,0.03462,0.01468,2.07238,14.2679,1.08267,0.000659864,0.000659864,0.000659864
2,53.1063,1.97749,7.24581,1.06488,0.19071,0.20502,0.07386,0.02929,2.25106,5.31743,1.15144,0.0013134,0.0013134,0.0013134
3,75.1667,1.95182,4.0654,1.06318,0.40171,0.42141,0.40522,0.14299,2.24247,2.34539,1.1252,0.00195373,0.00195373,0.00195373
4,96.8821,1.86243,2.44266,1.04841,0.51252,0.30962,0.26467,0.10599,2.23675,4.00971,1.14147,0.0019406,0.0019406,0.0019406
5,118.945,1.8726,1.81702,1.03846,0.81496,0.39331,0.4942,0.19787,2.12989,2.1843,1.0901,0.0019208,0.0019208,0.0019208
6,140.574,1.80364,1.47521,1.02593,0.39972,0.37238,0.27747,0.10424,2.11922,3.41703,1.11085,0.001901,0.001901,0.001901
7,162.651,1.77818,1.34408,1.01061,0.43021,0.29707,0.31876,0.13739,2.16272,2.53761,1.11609,0.0018812,0.0018812,0.0018812
8,184.244,1.80319,1.20522,1.01935,0.94209,0.13616,0.34735,0.13764,2.20194,3.71134,1.09524,0.0018614,0.0018614,0.0018614
9,206.374,1.75031,1.1594,1.00934,0.78294,0.30126,0.34947,0.12756,2.13631,2.76229,1.08358,0.0018416,0.0018416,0.0018416
10,228.289,1.7624,1.12656,1.00023,0.78398,0.43933,0.51151,0.21162,2.08626,2.06314,1.08299,0.0018218,0.0018218,0.0018218
11,250.232,1.74135,1.10938,1.0043,0.73175,0.43096,0.50977,0.18992,2.16934,2.03171,1.1454,0.001802,0.001802,0.001802
12,272.23,1.73036,1.06713,1.01048,0.82636,0.38912,0.47152,0.20261,2.0563,2.36118,1.07934,0.0017822,0.0017822,0.0017822
13,294.168,1.7111,1.04968,0.99547,0.80881,0.35565,0.37361,0.14011,2.1486,3.25558,1.10556,0.0017624,0.0017624,0.0017624
14,315.787,1.68117,0.9825,0.98695,0.85539,0.35565,0.37377,0.15457,2.17653,3.13894,1.10944,0.0017426,0.0017426,0.0017426
15,337.001,1.72228,0.99708,0.99936,0.76055,0.35565,0.4246,0.16127,2.06308,4.79988,1.10572,0.0017228,0.0017228,0.0017228
16,358.859,1.6704,0.9753,0.98162,0.74819,0.38539,0.48068,0.18766,2.15086,2.39874,1.10581,0.001703,0.001703,0.001703
